iter	Passed	Remaining
399	51428	77142
400	51679	77197
401	51769	77009
402	51858	76823
403	51994	76704
404	52155	76622
405	52290	76504
406	52381	76319
407	52477	76144
408	52605	76014
409	53516	77011
410	53620	76843
411	53706	76648
412	53838	76521
413	53989	76419
414	54100	76262
415	54204	76095
416	54297	75911
417	54457	75823
418	54551	75643
419	54646	75463
420	54765	75318
421	54856	75135
422	55047	75088
423	55173	74953
424	55342	74875
425	55476	74750
426	55591	74599
427	55927	74744
428	56222	74832
429	56362	74712
430	56541	74645
431	56653	74488
432	56762	74328
433	56904	74211
434	57139	74215
435	57331	74162
436	57567	74165
437	57800	74164
438	58048	74180
439	58304	74205
440	58480	74128
441	58710	74118
442	58882	74035
443	59063	73962
444	59242	73886
445	59422	73811
446	59524	73639
447	59713	73575
448	59874	73476
449	60038	73380
450	60247	73339
451	60433	73268
452	60584	73156
453	60734	73041
454	60916	72966
455	61051	72832
456	61232	72755
457	61424	72690
458	61607	72613
459	61734	72470
460	61853	72319
461	62054	72262
462	62303	72260
463	62472	72166
464	62688	72125
465	62844	72015
466	62988	71890
467	63130	71763
468	63381	71760
469	63509	71617
470	63633	71469
471	63756	71320
472	63887	71181
473	64344	71403
474	64456	71241
475	64603	71117
476	64741	70984
477	64904	70878
478	65059	70764
479	65232	70668
480	65348	70510
481	65441	70329
482	65599	70216
483	65761	70109
484	65900	69976
485	66206	70021
486	66406	69951
487	66625	69901
488	66861	69869
489	67057	69794
490	67264	69730
491	67696	69898
492	68121	70055
493	68397	70058
494	68632	70019
495	68801	69910
496	68999	69832
497	69137	69692
498	69290	69568
499	69501	69501
500	69686	69408
501	69869	69312
502	70058	69222
503	70265	69149
504	70370	68977
505	70545	68872
506	70742	68788
507	70902	68669
508	71068	68555
509	71255	68461
510	71425	68350
511	71630	68273
512	71812	68172
513	72002	68079
514	72148	67945
515	72317	67832
516	72500	67732
517	72800	67741
518	73027	67680
519	73254	67619
520	73452	67530
521	73690	67479
522	73940	67437
523	74155	67362
524	74347	67266
525	74519	67152
526	74709	67053
527	74891	66948
528	75002	66779
529	75113	66610
530	75313	66519
531	75460	66382
532	75555	66199
533	75641	66009
534	75900	65969
535	76084	65864
536	76281	65769
537	76412	65617
538	76514	65442
539	76677	65318
540	76858	65208
541	77032	65093
542	77167	64945
543	77276	64775
544	77374	64597
545	77502	64443
546	77614	64277
547	77787	64160
548	77932	64021
549	78019	63834
550	78122	63660
551	78253	63510
552	78366	63344
553	78484	63184
554	78598	63020
555	78720	62862
556	78899	62750
557	79040	62609
558	79135	62430
559	79366	62359
560	79461	62180
561	79575	62018
562	79722	61880
563	79871	61744
564	80039	61623
565	80287	61563
566	80510	61483
567	80686	61367
568	80903	61282
569	81021	61121
570	81141	60962
571	81273	60812
572	81372	60639
573	81508	60492
574	81709	60393
575	81878	60271
576	82102	60189
577	82264	60061
578	82414	59925
579	82583	59801
580	82724	59658
581	82820	59482
582	82910	59303
583	83097	59192
584	83190	59015
585	83289	58842
586	83557	58789
587	83672	58627
588	83834	58498
589	84076	58426
590	84599	58546
591	84717	58386
592	84870	58250
593	85085	58155
594	85361	58103
595	85641	58052
596	85779	57904
597	85889	57738
598	86008	57578
599	86120	57413
600	86280	57281
601	86448	57153
602	86631	57036
603	86978	57025
604	87178	56918
605	87457	56861
606	87600	56716
607	87885	56662
608	88025	56515
609	88181	56378
610	88295	56214
611	88383	56033
612	88625	55951
613	88938	55912
614	89134	55799
615	89520	55805
616	89762	55719
617	89889	55562
618	90051	55427
619	90159	55259
620	90364	55150
621	90529	55016
