iter	Logloss
487	0.6206425695
488	0.6205838995
489	0.6205459367
490	0.6204726406
491	0.6203913686
492	0.6203355809
493	0.6202634634
494	0.6202141615
495	0.6201340739
496	0.6200827968
497	0.6200198426
498	0.6199580663
499	0.619875957
500	0.6198085782
501	0.6197350489
502	0.6196681402
503	0.6196091521
504	0.6195548598
505	0.6195144471
506	0.61946814
507	0.6193957474
508	0.6193568139
509	0.6193026543
510	0.619243831
511	0.6191764309
512	0.6190669887
513	0.6190248581
514	0.6189590377
515	0.6189031588
516	0.6188374177
517	0.6187878427
518	0.6187307162
519	0.6186709289
520	0.6186271947
521	0.6185836954
522	0.6185471394
523	0.6184878912
524	0.6184310979
525	0.6183898644
526	0.6183338359
527	0.6182858572
528	0.6182345701
529	0.6181855324
530	0.6181357952
531	0.6180712458
532	0.6180224901
533	0.6179536369
534	0.6178944117
535	0.6178278977
536	0.6177788283
537	0.617716238
538	0.6176378381
539	0.617579065
540	0.6174803528
541	0.6174353773
542	0.617350597
543	0.6173221039
544	0.6172480918
545	0.6172041728
546	0.6171379008
547	0.617081047
548	0.6170319508
549	0.6169917078
550	0.6169091095
551	0.6168791125
552	0.6168248172
553	0.6167754115
554	0.6167196435
555	0.6166859427
556	0.6166337946
557	0.6166160058
558	0.6165590545
559	0.6165153692
560	0.6164649121
561	0.6164038376
562	0.6163413079
563	0.6162915304
564	0.6162250682
565	0.6161775529
566	0.6161331611
567	0.6160996261
568	0.6160532999
569	0.6159846057
570	0.615943778
571	0.6158590333
572	0.6157993683
573	0.6157545691
574	0.6156927554
575	0.6156256732
576	0.6155730682
577	0.615544649
578	0.6154859686
579	0.6154270164
580	0.6153622539
581	0.615301673
582	0.6152502805
583	0.6152039225
584	0.615162956
585	0.6151202112
586	0.6150873238
587	0.6150444912
588	0.614994148
589	0.6149344685
590	0.6148763768
591	0.614812969
592	0.6147775048
593	0.6147471319
594	0.6146952874
595	0.614637473
596	0.6145735468
597	0.6145358482
598	0.6144943246
599	0.6144328551
600	0.6143814386
601	0.6143299424
602	0.6142826658
603	0.6142537133
604	0.614216743
605	0.6141470337
606	0.6141049939
607	0.6140658976
608	0.61403559
609	0.6139638356
610	0.6139029502
611	0.6138744745
612	0.6138283747
613	0.6137783285
614	0.6137593282
615	0.6137031857
616	0.6136537897
617	0.6135890327
618	0.6135371727
619	0.6135097236
620	0.6134491031
621	0.6133879202
622	0.6133357996
623	0.61325271
624	0.613204791
625	0.6131626517
626	0.6131163413
627	0.6130337747
628	0.6129858443
629	0.6129213599
630	0.6128803026
631	0.612835673
632	0.6127725005
633	0.6127327565
634	0.6126836542
635	0.6126455255
636	0.6126023888
637	0.6125664284
638	0.612534668
639	0.6125025108
640	0.612452343
641	0.6123917726
642	0.6123637776
643	0.6123129213
644	0.6122370943
645	0.6121926431
646	0.612157333
647	0.612129181
648	0.6120817905
649	0.6120203952
650	0.6119882733
651	0.6119432533
652	0.6119073218
653	0.6118641713
654	0.6118255351
655	0.6117628254
656	0.6117071904
657	0.6116610112
658	0.611625827
659	0.6115745042
660	0.6115328181
661	0.6114714739
662	0.611412835
663	0.6113884564
664	0.6113459772
665	0.6112966291
666	0.6112545862
667	0.6112217989
668	0.6111719264
669	0.6111468349
670	0.6110596626
671	0.6110307258
672	0.6109885999
673	0.6109415361
674	0.6108856257
675	0.610831685
676	0.6107832908
677	0.6107268018
678	0.6106695811
679	0.6106183045
680	0.6105870788
681	0.6105459771
682	0.6104946151
683	0.6104558786
684	0.6104118635
685	0.6103499572
686	0.6102915303
687	0.6102612842
688	0.6102215052
689	0.6101675178
690	0.6101282991
691	0.610097417
692	0.6100510808
693	0.6100179407
694	0.609978855
695	0.6099441138
696	0.6098887159
697	0.6098509274
698	0.6098125903
699	0.6097863503
700	0.6097482255
701	0.6097130797
702	0.6096946883
703	0.6096506569
704	0.6095978206
705	0.6095683015
706	0.6095306611
707	0.6094882413
708	0.6094543653
709	0.6094160898
710	0.6093935695
711	0.6093385147
712	0.6093043608
713	0.6092346453
714	0.6091724994
715	0.6091403779
716	0.6091041034
717	0.6090846158
718	0.6090477111
719	0.6090097926
720	0.6089758047
721	0.6089241387
722	0.6088866168
723	0.6088585661
724	0.6088189016
725	0.6087972098
726	0.6087536231
727	0.6086995378
728	0.6086608656
729	0.6086389039
730	0.6085929508
731	0.6085708429
732	0.6085240414
733	0.6084848517
734	0.6084516491
735	0.6084081421
736	0.6083935918
737	0.608360144
738	0.608323932
739	0.6082819695
740	0.6082405007
741	0.6082056468
742	0.608153175
743	0.6081093049
744	0.6080687655
745	0.6080236322
746	0.6079972958
747	0.6079590757
748	0.6079431143
749	0.6079257596
750	0.6078815214
751	0.6078343474
752	0.6077939847
753	0.6077493186
754	0.6077187554
755	0.6076737519
756	0.6076200105
757	0.6075638298
758	0.6075215919
759	0.6074875857
760	0.6074478326
761	0.6074047837
762	0.6073646557
763	0.607338707
764	0.6073010931
765	0.6072733895
766	0.6072440142
767	0.607210696
768	0.6071613924
769	0.6071295615
770	0.6071071095
771	0.6070660493
772	0.6070303829
773	0.6069994214
774	0.6069640261
775	0.6069198595
776	0.6069046188
777	0.6068474873
778	0.6068004374
779	0.6067495492
780	0.6067150505
781	0.6066905499
782	0.6066669132
783	0.6066380243
784	0.6066027346
785	0.6065700715
786	0.6065257512
787	0.6064844193
788	0.6064579945
789	0.6064186936
790	0.606391972
791	0.6063447139
792	0.6063224515
793	0.6062885353
794	0.60622767
795	0.6061817152
796	0.6061384836
797	0.6061016209
798	0.6060638212
799	0.6060263503
800	0.6059828998
801	0.6059513373
802	0.6059223309
803	0.6058817479
804	0.605837702
805	0.6057862333
806	0.605766438
807	0.6057440871
808	0.6057387364
809	0.6057152647
810	0.605682663
811	0.6056409053
812	0.6056007487
813	0.6055749977
814	0.6055576808
815	0.6055246901
816	0.6055106953
817	0.6054658429
818	0.6054306788
819	0.6053946021
820	0.605373475
821	0.6053444866
822	0.6053055248
823	0.6052775851
824	0.6052427719
825	0.6052026485
826	0.6051786271
827	0.6051452328
828	0.6051077928
829	0.6050711661
830	0.6050413472
831	0.6049967396
832	0.6049580562
833	0.6049314967
834	0.604898849
835	0.6048500423
836	0.6048235418
837	0.6048061674
838	0.6047909318
839	0.6047649724
840	0.6047274123
841	0.6046916796
842	0.6046668084
843	0.6046379332
844	0.604601192
845	0.6045628169
846	0.6045460122
847	0.6044995434
848	0.6044636087
849	0.6044223391
850	0.6043898071
851	0.6043482313
852	0.604312407
853	0.6042759418
854	0.6042423338
855	0.604218307
856	0.6041772064
857	0.6041362997
858	0.6040949146
859	0.6040351454
860	0.6039890275
861	0.6039646032
862	0.6039305497
863	0.603916985
864	0.6039012207
865	0.6038656144
866	0.6038264201
867	0.6037839073
868	0.603739419
869	0.6037050375
870	0.6036648414
871	0.6036647249
872	0.6036483286
873	0.6036226452
874	0.6036103625
875	0.6035754043
876	0.6035598165
877	0.6035379172
878	0.6035091796
879	0.6034841988
880	0.6034474885
881	0.6034224561
882	0.6033954955
883	0.6033954538
884	0.6033596031
885	0.6033330764
886	0.6032955619
887	0.6032721082
888	0.6032346857
889	0.603195556
890	0.6031547892
891	0.60315467
892	0.6031205738
893	0.6031048444
894	0.6030842858
895	0.60304682
896	0.6030350197
897	0.6029884924
898	0.6029100511
899	0.6029097998
900	0.6028830754
901	0.6028697602
902	0.6028374822
903	0.6028355704
904	0.6028147616
905	0.6027917216
906	0.6027668174
907	0.6027527258
908	0.6027266357
909	0.6026913972
910	0.6026468846
911	0.6026242242
912	0.6025873104
913	0.602558389
914	0.6025273329
915	0.6025173386
916	0.6025047142
917	0.6024892908
918	0.6024660597
919	0.6024310091
920	0.6023802352
921	0.6023691856
922	0.6023334804
923	0.6022849951
924	0.6022557001
925	0.6022215916
926	0.6021950133
927	0.6021698226
928	0.6021453015
929	0.6021150013
930	0.6020916376
931	0.6020666947
932	0.6020255636
933	0.6019954381
934	0.6019408073
935	0.6019152333
936	0.6018906176
937	0.6018437918
938	0.6018185588
939	0.6017669155
940	0.6017376707
941	0.6017123339
942	0.6016893251
943	0.6016660416
944	0.6016313012
945	0.6015996444
946	0.6015757933
947	0.6015495351
948	0.6015261159
949	0.6014949841
950	0.601460086
951	0.6014293452
952	0.601410837
953	0.6014103978
954	0.6013940153
955	0.6013766508
956	0.6013343851
957	0.6012945268
958	0.6012583898
959	0.6012231526
960	0.6012125552
961	0.6011942608
962	0.6011814262
963	0.6011560555
964	0.6011413399
965	0.6011235638
966	0.6010956668
967	0.60106017
968	0.6010262481
969	0.6009913717
970	0.6009723176
971	0.6009534827
972	0.6009127978
973	0.6008898318
974	0.600849658
975	0.6008257075
976	0.60078422
977	0.6007660249
978	0.6007393551
979	0.6007049102
980	0.6006854796
981	0.6006709629
982	0.6006369304
983	0.600596201
984	0.6005658221
985	0.6005331289
986	0.6004884654
987	0.6004646118
988	0.600446946
989	0.6004127986
990	0.6003793087
991	0.6003563951
992	0.6003222568
993	0.6002865662
994	0.6002576846
995	0.6002245312
996	0.6001943297
997	0.6001831036
998	0.6001531597
999	0.6001326045
